N, P, entropy, rsquared, cycles, heap sort, insertion sort, merge sort, selection sort, smooth sort, tim sort
50000, 0.000000, 0.000000, 1.000000, 10, 62.200000, 3.000000, 133.500000, 15611.500000, 67.100000, 120.100000
50000, 0.000000, 0.000000, 1.000000, 10, 67.700000, 3.100000, 137.400000, 17442.700000, 70.800000, 126.000000
50000, 0.000000, 0.000000, 1.000000, 10, 62.700000, 3.000000, 132.700000, 15607.200000, 65.900000, 120.800000
50000, 0.000000, 0.000000, 1.000000, 10, 62.500000, 3.100000, 132.400000, 15637.600000, 66.600000, 120.900000
50000, 0.000000, 0.000000, 1.000000, 10, 62.500000, 3.000000, 132.400000, 15583.200000, 66.200000, 120.700000
50000, 0.000000, 0.000000, 1.000000, 10, 62.000000, 3.000000, 132.000000, 15594.600000, 66.900000, 120.300000
50000, 0.000000, 0.000000, 1.000000, 10, 62.400000, 3.000000, 131.800000, 15582.100000, 67.100000, 120.400000
50000, 0.000000, 0.000000, 1.000000, 10, 61.800000, 3.100000, 131.400000, 15536.600000, 65.700000, 120.500000
50000, 0.000000, 0.000000, 1.000000, 10, 64.200000, 3.000000, 133.200000, 15595.700000, 66.900000, 123.400000
50000, 0.000000, 0.000000, 1.000000, 10, 70.400000, 3.600000, 135.600000, 15582.900000, 67.700000, 127.200000
10000, 0.500000, 7.833001, 0.192611, 1, 13.000000, 687.000000, 29.000000, 432.000000, 29.000000, 22.000000
10000, 0.333000, 6.730109, 0.355582, 5, 14.000000, 492.000000, 23.600000, 407.600000, 23.400000, 24.000000
50000, 0.333000, 7.935337, 0.365624, 5, 79.800000, 0.000000, 137.400000, 0.000000, 141.600000, 126.600000
50000, 0.250000, 6.741217, 0.487162, 5, 78.000000, 0.000000, 138.000000, 0.000000, 128.200000, 125.800000
50000, 0.250000, 6.843859, 0.471960, 5, 77.400000, 0.000000, 136.600000, 0.000000, 128.800000, 125.200000
50000, 0.250000, 6.823979, 0.483836, 5, 77.600000, 0.000000, 132.800000, 0.000000, 127.800000, 123.400000
50000, 0.250000, 6.762666, 0.487200, 5, 77.200000, 0.000000, 133.000000, 0.000000, 128.000000, 125.000000
50000, 0.250000, 6.825366, 0.479329, 5, 77.800000, 0.000000, 136.200000, 0.000000, 120.600000, 109.400000
50000, 0.250000, 6.814644, 0.474036, 5, 77.400000, 0.000000, 132.800000, 0.000000, 120.000000, 109.600000
50000, 0.250000, 6.773157, 0.485650, 5, 78.000000, 0.000000, 133.600000, 0.000000, 119.400000, 109.400000
50000, 1.000000, 10.242196, 0.000004, 5, 92.800000, 0.000000, 137.200000, 0.000000, 212.000000, 112.800000
50000, 1.000000, 10.247666, 0.000011, 5, 93.000000, 0.000000, 134.200000, 0.000000, 212.600000, 112.800000
50000, 1.000000, 10.247002, 0.000006, 5, 92.600000, 0.000000, 134.800000, 0.000000, 212.200000, 113.000000
100000, 1.000000, 10.941845, 0.000001, 5, 202.800000, 0.000000, 325.600000, 0.000000, 459.800000, 280.800000
100000, 1.000000, 10.939087, 0.000000, 5, 203.400000, 0.000000, 326.400000, 0.000000, 460.200000, 280.000000
100000, 1.000000, 10.939621, 0.000021, 5, 203.000000, 0.000000, 325.000000, 0.000000, 460.600000, 280.400000
250000, 1.000000, 11.856192, 0.000001, 3, 583.666667, 0.000000, 849.333333, 0.000000, 1290.333333, 742.000000
250000, 1.000000, 11.858059, 0.000004, 3, 639.000000, 0.000000, 851.000000, 0.000000, 1291.333333, 738.333333
250000, 1.000000, 11.855271, 0.000000, 3, 586.000000, 0.000000, 849.333333, 0.000000, 1290.666667, 735.666667
1000, 0.000000, 0.000000, 1.000000, 10, 0.800000, 0.100000, 0.700000, 3.500000, 0.800000, 0.700000
1000, 0.000000, 0.000000, 1.000000, 10, 0.600000, 0.100000, 0.800000, 3.600000, 0.700000, 0.500000
1000, 0.000000, 0.000000, 1.000000, 10, 1.200000, 0.000000, 1.000000, 4.200000, 0.800000, 0.800000
1000, 0.000000, 0.000000, 1.000000, 10, 0.900000, 0.000000, 0.900000, 4.100000, 1.200000, 0.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.000000, 0.000000, 1.200000, 4.500000, 0.800000, 0.700000
1000, 0.000000, 0.000000, 1.000000, 10, 0.900000, 0.000000, 1.100000, 4.000000, 0.900000, 0.900000
1000, 0.000000, 0.000000, 1.000000, 10, 0.900000, 0.100000, 1.200000, 4.100000, 0.800000, 0.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.000000, 0.100000, 1.000000, 3.900000, 0.700000, 0.800000
1000, 0.000000, 0.000000, 1.000000, 10, 0.900000, 0.000000, 1.100000, 3.900000, 0.700000, 0.600000
1000, 0.000000, 0.000000, 1.000000, 10, 1.000000, 0.100000, 1.000000, 4.200000, 0.900000, 0.500000
2500, 0.000000, 0.000000, 1.000000, 10, 2.800000, 0.100000, 3.900000, 27.300000, 1.900000, 2.500000
2500, 0.000000, 0.000000, 1.000000, 10, 2.800000, 0.200000, 3.700000, 28.700000, 2.400000, 2.700000
2500, 0.000000, 0.000000, 1.000000, 10, 2.600000, 0.100000, 3.700000, 29.100000, 2.100000, 2.600000
2500, 0.000000, 0.000000, 1.000000, 10, 2.500000, 0.000000, 3.900000, 27.600000, 2.100000, 2.900000
2500, 0.000000, 0.000000, 1.000000, 10, 2.800000, 0.200000, 3.700000, 27.400000, 2.100000, 2.600000
2500, 0.000000, 0.000000, 1.000000, 10, 2.400000, 0.200000, 4.200000, 27.600000, 2.200000, 2.900000
2500, 0.000000, 0.000000, 1.000000, 10, 2.500000, 0.100000, 3.600000, 28.900000, 2.100000, 2.600000
2500, 0.000000, 0.000000, 1.000000, 10, 2.500000, 0.000000, 3.900000, 27.300000, 2.100000, 2.500000
2500, 0.000000, 0.000000, 1.000000, 10, 2.700000, 0.100000, 3.600000, 28.400000, 2.100000, 3.300000
2500, 0.000000, 0.000000, 1.000000, 10, 2.800000, 0.000000, 3.700000, 29.000000, 2.100000, 3.200000
5000, 0.000000, 0.000000, 1.000000, 10, 5.200000, 0.400000, 10.500000, 111.100000, 4.100000, 6.400000
5000, 0.000000, 0.000000, 1.000000, 10, 5.300000, 0.300000, 10.200000, 110.900000, 4.200000, 6.600000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.200000, 10.000000, 108.500000, 3.900000, 6.500000
5000, 0.000000, 0.000000, 1.000000, 10, 4.900000, 0.300000, 10.200000, 109.600000, 3.800000, 6.500000
5000, 0.000000, 0.000000, 1.000000, 10, 5.500000, 0.300000, 10.200000, 110.400000, 4.000000, 6.900000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.300000, 10.200000, 110.700000, 4.200000, 6.700000
5000, 0.000000, 0.000000, 1.000000, 10, 5.200000, 0.400000, 10.500000, 111.700000, 3.800000, 6.800000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.200000, 10.400000, 109.200000, 4.100000, 6.400000
5000, 0.000000, 0.000000, 1.000000, 10, 5.100000, 0.500000, 10.800000, 111.300000, 4.000000, 6.400000
5000, 0.000000, 0.000000, 1.000000, 10, 5.200000, 0.100000, 10.200000, 110.700000, 4.200000, 6.700000
10000, 0.000000, 0.000000, 1.000000, 10, 12.000000, 0.600000, 24.900000, 447.100000, 8.100000, 16.200000
10000, 0.000000, 0.000000, 1.000000, 10, 11.900000, 0.500000, 26.400000, 440.400000, 7.800000, 15.800000
